time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
17-Aug-20,26,8401,17,2883,3,1939,5,3412
18-Aug-20,21,6135,18,2712,1,1240,2,2060
19-Aug-20,30,6273,26,4023,2,1006,2,1159
20-Aug-20,56,10709,50,5579,2,1809,2,3134
21-Aug-20,57,10843,49,5936,4,2051,3,2683
22-Aug-20,44,3303,44,2791,0,331,0,153
23-Aug-20,53,4464,53,3870,0,425,0,145
24-Aug-20,83,17592,76,6965,4,4802,3,5546
25-Aug-20,89,14838,88,11605,1,1386,0,1688
26-Aug-20,54,6345,52,4348,0,968,1,926
27-Aug-20,47,14536,39,4893,3,4295,5,5112
28-Aug-20,63,13227,61,10190,0,1283,2,1598
29-Aug-20,49,2711,45,1905,2,419,0,340
30-Aug-20,104,3465,101,2637,1,466,1,328
31-Aug-20,231,17030,224,7187,2,4287,3,5293
1-Sep-20,197,13951,193,10542,1,1396,1,1844
2-Sep-20,120,6411,118,4415,2,942,0,950
3-Sep-20,87,14245,79,5823,4,3677,2,4519
4-Sep-20,102,13551,95,9600,1,1603,6,2168
5-Sep-20,33,2409,30,1585,2,408,1,367
6-Sep-20,34,2964,33,1711,1,578,0,629
7-Sep-20,60,6233,56,3175,1,1482,3,1495
8-Sep-20,76,10818,70,9544,1,496,3,653
9-Sep-20,44,11950,40,5405,1,2455,3,3821
10-Sep-20,34,6611,30,4267,1,941,2,1297
11-Sep-20,35,11211,33,9088,1,847,1,1132
12-Sep-20,9,4003,9,2096,0,825,0,999
13-Sep-20,17,4710,13,2513,2,1162,1,952
14-Sep-20,40,10171,32,6982,1,1489,5,1531
15-Sep-20,47,11222,43,9008,1,892,1,1156
16-Sep-20,23,9937,22,4418,0,1852,1,3485
17-Sep-20,17,7786,16,5375,0,918,1,1342
18-Sep-20,27,10354,23,8287,0,835,4,1099
19-Sep-20,12,3784,9,2061,2,784,1,853
20-Sep-20,11,4552,9,2515,0,1044,2,920
21-Sep-20,42,10369,39,7059,1,1556,2,1607
22-Sep-20,62,11095,57,8902,1,843,3,1184
23-Sep-20,29,9648,25,4255,1,1779,3,3392
24-Sep-20,27,9106,27,6283,0,1282,0,1397
25-Sep-20,41,10870,40,8606,0,1060,1,1046
26-Sep-20,17,3887,17,2141,0,775,0,899
27-Sep-20,28,4588,26,2515,0,1106,2,890
28-Sep-20,36,10723,35,7451,0,1534,0,1577
29-Sep-20,37,10618,34,8443,1,885,1,1146
30-Sep-20,32,10341,31,4925,0,1848,1,3371
1-Oct-20,27,7587,26,5199,1,916,0,1336
2-Oct-20,18,10741,16,8302,0,981,1,1297
3-Oct-20,9,3848,6,2045,0,780,3,943
4-Oct-20,7,4372,6,2275,1,1033,0,969
5-Oct-20,48,11116,39,7765,4,1565,5,1613
6-Oct-20,25,10314,21,7955,1,947,3,1258
7-Oct-20,21,9753,14,4343,1,1821,6,3374
8-Oct-20,14,7947,12,5426,0,983,2,1389
9-Oct-20,10,9682,8,7325,0,925,1,1260
10-Oct-20,11,3376,8,1791,1,689,2,817
11-Oct-20,8,4539,4,2402,1,1069,2,981
12-Oct-20,23,9572,19,6618,2,1307,2,1489
13-Oct-20,14,10083,12,7809,1,956,1,1168
14-Oct-20,11,9090,4,4038,1,1645,6,3219
15-Oct-20,9,8000,5,5399,1,992,2,1457
16-Oct-20,9,9655,7,7365,1,936,0,1223
17-Oct-20,2,3423,2,1777,0,675,0,890
18-Oct-20,6,4553,4,2450,2,1018,0,999
19-Oct-20,18,10604,13,7374,0,1464,3,1550
20-Oct-20,18,9933,11,7687,2,896,5,1206
21-Oct-20,20,9491,9,4337,1,1697,10,3250
22-Oct-20,23,8354,15,5676,1,1011,7,1464
23-Oct-20,23,9205,,,,,,
24-Oct-20,15,3825,10,2143,0,721,4,880
25-Oct-20,24,4680,17,2595,5,990,1,1000
26-Oct-20,73,11181,54,7666,1,1503,15,1780
27-Oct-20,41,10269,28,7797,2,1013,11,1280
28-Oct-20,37,9569,20,4505,3,1660,14,3187
29-Oct-20,25,8859,18,6063,1,1071,6,1509
30-Oct-20,37,10578,28,7866,5,1082,4,1448
31-Oct-20,9,3545,4,1919,3,679,2,868
1-Nov-20,14,4906,8,2814,3,933,1,1064
2-Nov-20,73,11897,57,8080,4,1620,10,1933
3-Nov-20,39,5744,33,4760,2,431,4,464
4-Nov-20,74,11670,42,6202,7,1830,24,3398
5-Nov-20,61,8887,36,5818,8,1113,16,1760
6-Nov-20,46,10197,28,7434,5,1024,12,1552
7-Nov-20,22,4148,15,2391,3,762,2,909
8-Nov-20,24,5181,7,3048,10,981,7,1059
9-Nov-20,73,11939,51,8100,4,1571,14,2021
10-Nov-20,57,10335,47,7183,4,1190,5,1776
11-Nov-20,52,11065,34,5149,3,2273,12,3393
12-Nov-20,36,9671,24,6004,4,1398,5,1997
13-Nov-20,34,11166,23,7571,0,1276,11,2094
14-Nov-20,16,4576,11,2222,0,936,5,1266
15-Nov-20,22,6471,11,3331,2,1454,7,1540
16-Nov-20,52,13538,33,8243,4,2162,10,2872
17-Nov-20,42,10235,30,6725,3,1269,8,1994
18-Nov-20,34,10386,21,5118,2,2170,10,2803
19-Nov-20,26,10395,13,6129,3,1562,8,2474
20-Nov-20,34,11172,24,7140,0,1468,8,2289
21-Nov-20,13,3486,11,1486,0,746,1,1099
22-Nov-20,19,3353,13,1052,2,814,3,1325
23-Nov-20,26,5794,15,1591,4,1290,6,2687
24-Nov-20,13,4407,6,1169,2,994,5,2017
25-Nov-20,14,5582,4,892,2,1440,7,2921
27-Nov-20,0,187,0,123,0,19,0,44
28-Nov-20,33,3526,19,934,1,919,12,1487
29-Nov-20,21,4102,12,1373,4,1087,4,1501
30-Nov-20,71,9544,47,4131,9,1897,12,3219
1-Dec-20,27,5769,17,2897,2,1060,7,1622
2-Dec-20,32,7564,22,3163,3,1645,5,2510
3-Dec-20,23,6681,15,2923,3,1241,5,2362
4-Dec-20,25,6939,12,3482,5,1234,8,1970
5-Dec-20,19,3064,14,1207,1,693,4,1045
6-Dec-20,23,4328,11,1922,4,929,6,1329
7-Dec-20,35,8506,20,3828,1,1586,13,2831
8-Dec-20,27,5891,21,2776,2,1044,3,1866
9-Dec-20,22,7109,12,3154,0,1467,6,2289
10-Dec-20,10,6235,6,2628,2,1178,2,2251
11-Dec-20,10,6297,7,2903,0,1103,0,2045
12-Dec-20,5,2887,2,1121,1,619,2,1024
13-Dec-20,10,2966,6,1126,0,624,2,1073
14-Dec-20,12,7820,4,3172,3,1573,5,2831
15-Dec-20,12,5104,1,2165,3,918,7,1840
16-Dec-20,14,5695,9,2296,0,1240,4,1977
17-Dec-20,11,5766,4,2137,2,1152,5,2292
18-Dec-20,6,5621,3,2264,1,1056,2,2064
19-Dec-20,8,2440,3,819,1,533,4,962
20-Dec-20,4,2163,0,594,0,522,4,930
21-Dec-20,14,4741,3,880,1,1148,8,2475
22-Dec-20,9,3413,3,665,2,850,4,1711
23-Dec-20,8,4853,1,719,1,1010,6,2808
26-Dec-20,15,1536,8,338,2,370,4,721
27-Dec-20,10,1697,0,366,3,408,7,820
28-Dec-20,20,2295,9,473,3,635,6,1048
29-Dec-20,17,2095,3,518,3,443,11,1010
30-Dec-20,15,3259,7,759,3,758,5,1562
2-Jan-21,23,3425,8,870,8,753,5,1638
3-Jan-21,18,2634,6,607,1,650,10,1253
4-Jan-21,33,5363,16,995,4,1198,12,2912
5-Jan-21,26,3129,9,735,3,686,13,1550
6-Jan-21,12,3920,7,804,2,935,3,2014
7-Jan-21,15,3924,7,696,4,876,4,2148
8-Jan-21,14,3650,3,861,1,759,9,1865
9-Jan-21,4,1910,2,398,0,465,1,935
10-Jan-21,8,2401,3,523,3,644,2,1104
11-Jan-21,12,5708,3,1147,3,1336,5,2969
12-Jan-21,17,3719,7,862,0,865,10,1831
13-Jan-21,18,4124,6,935,3,976,6,2029
14-Jan-21,5,4172,3,961,1,871,1,2161
15-Jan-21,15,5832,4,1604,8,2001,2,2054
16-Jan-21,12,2836,11,1190,1,623,0,911
17-Jan-21,18,4631,15,2624,1,727,2,1135
18-Jan-21,31,8621,25,5363,4,1516,2,1551
19-Jan-21,29,9058,13,3602,7,2187,9,3047
20-Jan-21,22,7285,18,3741,2,1301,2,2062
21-Jan-21,22,8893,14,5272,2,1404,5,2027
22-Jan-21,23,10398,19,5948,0,1664,2,2547
23-Jan-21,20,7163,14,4540,4,1319,2,1163
24-Jan-21,17,9590,14,6525,1,1504,0,1376
25-Jan-21,24,11495,17,6901,2,1804,5,2568
26-Jan-21,21,9865,16,6107,3,1504,2,2076
27-Jan-21,18,9696,13,5597,0,1656,4,2233
28-Jan-21,18,10352,10,6408,1,1512,6,2237
29-Jan-21,16,10359,7,6254,2,1558,5,2311
30-Jan-21,4,4704,4,2591,0,871,0,1110
31-Jan-21,17,6619,14,4231,2,1151,1,1094
1-Feb-21,66,14153,59,8747,2,2140,4,2966
2-Feb-21,41,10122,35,6248,2,1453,4,2189
3-Feb-21,31,9639,24,5650,1,1664,6,2102
4-Feb-21,36,9446,29,5790,3,1330,4,2133
5-Feb-21,57,10894,48,6830,3,1582,4,2249
6-Feb-21,22,4840,22,2803,0,831,0,1061
7-Feb-21,43,6512,40,4229,1,1070,0,1045
8-Feb-21,77,13450,67,8506,5,1982,3,2686
9-Feb-21,70,10391,63,6630,2,1396,5,2150
10-Feb-21,44,9379,43,5725,0,1494,1,1959
11-Feb-21,39,10179,32,6414,1,1479,6,2065
12-Feb-21,30,10563,26,6554,0,1475,3,2292
13-Feb-21,24,4463,19,2447,2,883,2,1010
14-Feb-21,31,6411,25,4051,2,1226,3,1002
15-Feb-21,53,10678,44,6963,3,1630,6,1873
16-Feb-21,43,8256,34,5624,3,1348,6,1151
17-Feb-21,37,10623,30,5714,2,1898,4,2774
18-Feb-21,41,10318,36,6502,2,1550,3,2014
19-Feb-21,29,10627,21,6686,4,1539,4,2169
20-Feb-21,12,4860,9,2812,3,930,0,1000
21-Feb-21,14,7084,10,4378,2,1306,2,1245
22-Feb-21,32,13845,29,8431,1,2222,2,2909
23-Feb-21,26,10326,22,6531,2,1537,2,2034
24-Feb-21,19,9428,14,5572,2,1591,3,2054
25-Feb-21,9,9953,8,6019,1,1544,0,2142
26-Feb-21,11,10823,7,6638,1,1619,3,2320
27-Feb-21,7,4401,6,2427,0,896,1,964
28-Feb-21,5,6709,2,4109,2,1222,0,1192
1-Mar-21,15,14016,12,8320,1,2337,2,3060
2-Mar-21,10,9778,8,6048,1,1444,1,2029
3-Mar-21,10,9019,10,5280,0,1578,0,1968
4-Mar-21,9,10061,9,6218,0,1481,0,2111
5-Mar-21,7,10106,6,6099,1,1608,0,2144
6-Mar-21,4,4153,3,2361,1,808,0,874
7-Mar-21,5,6165,4,3632,0,1193,1,1200
8-Mar-21,23,14395,21,8762,2,2362,0,2955
9-Mar-21,10,9443,8,5864,1,1386,0,1987
10-Mar-21,10,8661,8,5172,0,1407,1,1897
11-Mar-21,5,9569,3,5811,1,1301,1,2037
12-Mar-21,8,9962,5,6012,0,1383,2,2152
13-Mar-21,3,3805,2,2121,0,615,1,796
14-Mar-21,2,5150,2,3018,0,1010,0,989
15-Mar-21,5,12407,4,7613,0,1754,1,2591
16-Mar-21,6,10063,3,6214,0,1454,3,2016
17-Mar-21,5,7469,2,4401,1,1187,2,1710
18-Mar-21,8,8028,5,4818,0,1126,2,1724
19-Mar-21,2,9711,2,5790,0,1429,0,2092
20-Mar-21,1,3817,1,2158,0,605,0,799
21-Mar-21,1,5228,1,3126,0,921,0,1037
22-Mar-21,11,13169,7,7885,2,1967,2,2847
23-Mar-21,8,8924,5,5276,2,1312,1,1959
24-Mar-21,11,7340,5,4177,2,1193,4,1777
25-Mar-21,9,8424,6,5041,1,1202,0,1964
