time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
2022-05-16,52,940,11,271,14,240,26,390
2022-05-17,33,773,7,217,10,164,15,346
2022-05-18,33,690,10,156,7,187,13,302
2022-05-19,32,752,5,176,8,191,15,306
2022-05-20,34,682,8,126,12,156,13,337
2022-05-21,15,295,7,77,2,82,6,112
2022-05-22,16,171,4,39,3,37,8,75
2022-05-23,47,790,13,148,12,188,20,407
2022-05-24,32,658,8,124,6,132,17,351
2022-05-25,29,563,7,99,12,147,7,276
2022-05-26,28,540,7,101,10,139,10,272
2022-05-27,33,639,10,127,9,149,14,327
2022-05-28,15,273,4,64,5,80,5,110
2022-05-31,82,1040,21,194,25,243,31,525
2022-06-01,58,648,14,126,18,177,19,303
2022-06-02,35,716,12,126,7,185,13,364
2022-06-03,40,710,10,120,11,177,17,379
2022-06-06,52,810,7,130,13,196,26,436
2022-06-07,26,556,8,97,4,125,14,299
2022-06-08,26,539,7,106,3,112,14,283
2022-06-09,36,589,13,134,6,158,15,273
2022-06-10,26,590,5,87,5,131,13,341
2022-06-13,46,703,6,131,17,156,22,396
2022-06-14,36,501,11,84,11,113,13,283
2022-06-15,26,485,3,74,8,102,14,278
2022-06-16,15,590,2,109,4,138,9,322
2022-06-20,47,807,8,135,17,209,20,439
2022-06-21,25,489,1,83,11,136,10,248
2022-06-22,24,508,7,86,6,136,10,257
2022-06-23,19,523,5,117,5,116,9,264
2022-06-24,22,552,7,91,4,141,10,296
2022-06-27,50,755,6,111,17,198,26,418
2022-06-28,39,484,5,91,16,107,16,264
2022-06-29,30,472,6,80,11,119,11,255
2022-06-30,32,506,8,103,15,135,9,245
2022-07-01,26,548,6,86,5,131,13,301
2022-07-05,82,748,9,113,28,180,42,427
2022-07-06,54,554,12,89,17,135,21,307
2022-07-07,37,470,3,90,14,110,18,244
2022-07-08,41,594,8,92,17,154,13,324
2022-07-11,57,764,9,113,16,175,28,444
2022-07-12,39,529,10,96,8,132,18,276
2022-07-13,33,536,12,105,14,133,7,279
2022-07-14,32,500,7,108,13,134,11,232
2022-07-15,29,585,7,113,9,139,12,291
2022-07-18,56,820,18,148,15,189,21,447
2022-07-19,27,557,6,113,7,110,12,297
2022-07-20,35,481,9,91,7,95,14,267
2022-07-21,25,535,3,120,12,127,10,259
2022-07-22,35,629,8,101,9,144,17,342
2022-07-25,55,823,12,163,10,156,28,461
2022-07-26,36,534,10,113,6,114,16,278
2022-07-27,32,470,8,83,11,127,13,230
2022-07-28,35,487,7,100,9,106,16,245
2022-07-29,41,594,14,123,10,124,15,321
2022-08-01,67,689,18,115,21,155,27,398
2022-08-02,46,455,11,68,11,101,20,255
2022-08-03,31,368,3,60,5,84,20,201
2022-08-04,26,401,4,62,7,99,15,221
2022-08-05,21,468,6,96,4,88,11,265
2022-08-08,43,575,9,65,7,104,25,379
2022-08-09,20,401,6,79,4,72,9,231
2022-08-10,37,400,10,84,9,72,16,228
2022-08-11,29,415,12,117,4,67,12,212
2022-08-12,21,387,7,60,8,62,5,255
2022-08-15,28,346,6,38,7,81,14,208
2022-08-16,25,286,11,60,7,71,7,144
2022-08-17,19,260,8,72,7,65,2,113
2022-08-18,22,257,2,65,6,56,12,129
2022-08-19,24,359,7,103,6,68,10,174
2022-08-22,80,753,51,417,15,117,13,206
2022-08-23,83,562,64,282,11,102,8,161
2022-08-24,112,548,82,328,15,75,13,138
2022-08-25,91,556,71,320,12,91,8,131
2022-08-26,100,761,86,441,6,107,8,200
2022-08-29,386,1511,332,1042,33,170,21,289
2022-08-30,325,1439,286,1108,34,145,5,170
2022-08-31,291,1558,254,1184,24,168,12,184
2022-09-01,206,1495,184,1133,18,175,4,173
2022-09-02,167,1568,138,1111,20,209,9,232
2022-09-06,157,1392,104,910,32,177,18,271
2022-09-07,70,970,42,626,16,125,10,189
2022-09-08,48,808,34,528,11,120,2,143
2022-09-09,41,885,26,530,7,133,6,200
2022-09-12,52,874,26,504,10,111,16,232
2022-09-13,23,647,11,370,7,91,5,160
2022-09-14,29,611,11,365,11,89,5,140
2022-09-15,17,539,8,314,4,73,4,137
2022-09-16,11,622,3,363,2,70,6,177
2022-09-19,16,629,6,371,3,74,6,173
2022-09-20,12,511,5,326,6,53,1,127
2022-09-21,12,512,4,315,2,54,5,131
2022-09-22,4,441,3,266,1,53,0,110
2022-09-23,8,481,2,277,0,55,5,141
2022-08-26,15,642,6,358,3,83,4,189
2022-08-27,14,476,0,272,6,55,7,127
2022-08-28,13,467,5,303,1,49,7,103
2022-08-29,4,395,1,242,2,39,1,102
2022-08-30,8,477,1,275,4,59,3,133
2022-10-03,10,526,5,310,3,64,2,143
2022-10-04,13,485,3,304,2,52,6,123
2022-10-05,11,471,4,284,4,61,3,116
2022-10-07,7,418,1,223,4,64,2,117
2022-10-10,8,438,1,234,1,58,6,136
2022-10-11,16,552,7,316,0,58,7,162
2022-10-12,15,436,6,272,2,44,5,100
2022-10-13,21,486,6,283,0,39,10,115
